sku,categoria,nombre,descripcion,material,terminacion,dimensiones,potencia,tono_luz,tension_v,encendido,apto_dinamico,ubicacion,marca,proveedor,precio_ars
ENT-011,LÁMPARA DE ESCRITORIO - VELADORES,,Lámpara de diseño para hogares y · oficinas. · Con encendido táctil dimerizable.,Aluminio - acero inox,Gris · Negro,36 x 12 cm,15W,Cálido 3000K · Frio 6000K · RGB/RGBW,220V,"apagado · Touch, dimerizable o app",,Interior,Enertech,MAZ Iluminación,
ENT-012,LÁMPARA DE ESCRITORIO,DUBAI DESK,Lámpara de diseño para hogares u · oficinas. · Con encendido táctil dimerizable.,Aluminio - madera,Aluminio anodizado · Gris · Negro,31 x 44 cm,15W,,220V,"apagado · Touch, dimerizable o app · Ver más aquí",,Interior,Enertech,MAZ Iluminación,
ENT-013,LÁMPARA DE ESCRITORIO - VELADORES,CIRCLE LAMP,Lámpara de diseño para hogares y · oficinas. · Con encendido táctil dimerizable.,Aluminio,Gris · Negro · Cobre · Dorado,33 cm largo x 33 cm alto · 6 cm ancho,10W,Cálido 3000K · Frio 6000K · RGB/RGBW,220V,"apagado · Touch, dimerizable o app",,Interior,Enertech,MAZ Iluminación,
ENT-014,LÁMPARA DE ESCRITORIO - VELADORES,,Tamaño de la base 12 cm · Lámpara de diseño para hogares y · oficinas. · Con encendido táctil dimerizable.,Aluminio - madera,Gris · Negro,32 cm largo x 32 alto · base de 12 cm x 12 cm,15W,Cálido 3000K · Frio 6000K · RGB/RGBW,220V,"apagado · Touch, dimerizable o app",,Interior,Enertech,MAZ Iluminación,
ENT-015,LÁMPARA DE ESCRITORIO - VELADORES,TWISTER LAMP,Ancho total 15 cm · Lámpara de diseño para hogares y · oficinas. · Con encendido táctil dimerizable.,Aluminio,Gris · Negro · Cobre,25 cm x 15 cm,15W,Cálido 3000K · Frio 6000K · RGB/RGBW,220V,"apagado · Touch, dimerizable o app",,Interior,Enertech,MAZ Iluminación,
ENT-016,LÁMPARA DE ESCRITORIO - VELADORES,MINI NOXU,Lámpara de diseño para hogares y · oficinas. Ideal para escritorios que · transmitan tecnología e innovación. · Incluye control remoto para lograr · distintos tonos de luz y múltiples · efectos.,Aluminio,Gris · Negro · Blanco,32 cm largo - 12 cm largo de base,10W,Cálido 3000K · Frio 6000K · RGB/RGBW · RGB PIXEL,220V,apagado · Con control remoto,,Interior,Enertech,MAZ Iluminación,
ENT-017,LÁMPARA DE ESCRITORIO - VELADORES,ASTRO LAMP,Ancho total 12 cm · Lámpara de diseño para hogares · ideal para adolescente/niño.,Aluminio,Gris · Negro · Blanco,30 cm de alto,10W,Cálido 3000K · Frio 6000K · RGB/RGBW,220V,apagado · Control remoto,,Interior,Enertech,MAZ Iluminación,
ENT-018,LÁMPARA DE ESCRITORIO - VELADORES,MEDIA LUNA,Lámpara de diseño para hogares · ideal para adolescente/niño.,Aluminio,Blanco,25 cm de alto,10W,Cálido 3000K · Frio 6000K · RGB/RGBW,220V,apagado · Control remoto,,Interior,Enertech,MAZ Iluminación,
ENT-019,LÁMPARA DE ESCRITORIO - VELADORES,CIRCULAR MAGIC RGB,Lámpara de diseño para hogares · ideal para adolescente/niño.,Aluminio,Color de la lámpara · Gris · Negro · Base redonda o cuadrada · Gris · Negro · Blanco,36 x 32 cm,10W,Cálido 3000K · Frio 6000K · RGB/RGBW · RGB PIXEL,220V,apagado · Control remoto,,Interior,Enertech,MAZ Iluminación,
ENT-020,LÁMPARA DE ESCRITORIO - VELADORES,CORAZÓN MAGIC RGB,12 cm · Lámpara de diseño para hogares · ideal para adolescente/niño.,Aluminio,Color de la lámpara · Gris · Negro · Base redonda o cuadrada · Gris · Negro · Blanco,36 x 32 cm,15W,Cálido 3000K · Frio 6000K · RGB/RGBW · RGB PIXEL,220V,apagado · Control remoto,,Interior,Enertech,MAZ Iluminación,
ENT-021,COLGANTES,FISH LAMP,,Aluminio,Aluminio anodizado · Gris · Negro,140 x 55 cm,96W,Cálido 3000K · Frio 6000K · RGB/RGBW,220V,apagado · Opcional sistema dimmer por control · remoto o App,Sí,Interior,Enertech,MAZ Iluminación,
ENT-022,COLGANTE,BUCLE Niveles regulables,,Aluminio - acero inox,Aluminio anodizado · Gris · Negro,110 x 30 cm / 150 x 30 cm,50W / 60W,Cálido 3000K · Frio 6000K · RGB/RGBW,220V,apagado · Opcional sistema dimmer por control · remoto o App,,Interior,Enertech,MAZ Iluminación,
ENT-023,COLGANTE,Niveles regulables Terminación,,Aluminio,Aluminio anodizado · Gris · Negro,60 x 20 cm,60 W,Cálido 3000K · Frio 6000K · RGB/RGBW,220V,apagado · Opcional sistema dimmer por control · remoto o App,Sí,Interior,Enertech,MAZ Iluminación,
ENT-024,COLGANTE,WAVE Niveles regulables,,Aluminio - acero inox,Aluminio anodizado · Gris · Negro,"100 x 6,5 cm · 150 x 6,5 cm Apto Sistema Dinámico",40W / 60W,Cálido 3000K · Frio 6000K · RGB/RGBW,220V,apagado · Opcional sistema dimmer por control · remoto o App,Sí,Interior,Enertech,MAZ Iluminación,
ENT-025,COLGANTE,DOBLE WAVE Niveles regulables,,Aluminio - acero inox,Aluminio anodizado · Gris · Negro,100 cm x 10 cm · 150 cm x 10 cm,75W / 107W,Cálido 3000K · Frio 6000K · RGB/RGBW,220V,apagado · Opcional sistema dimmer por control · remoto o App,Sí,Interior,Enertech,MAZ Iluminación,
ENT-026,COLGANTE,SMILE Niveles regulables,,Aluminio,Aluminio anodizado · Gris · Negro,120 cm,25W,Cálido 3000K · Frio 6000K · RGB/RGBW,220V,apagado · Opcional sistema dimmer por control · remoto o App,,Interior,Enertech,MAZ Iluminación,
ENT-027,COLGANTE,SAD Niveles regulables,,Aluminio,Aluminio anodizado · Gris · Negro,120 cm de largo,25W,Cálido 3000K · Frio 6000K · RGB/RGBW,220V,apagado · Opcional sistema dimmer por control · remoto o App,,Interior,Enertech,MAZ Iluminación,
ENT-028,COLGANTE,UNO Y DOS NIVELES Terminación,,Aluminio,Aluminio anodizado · Gris · Negro · Blanco · Dorado,(Diámetro) · Modelo 1 aro: 45 / 60 / 70 / 80 / 100 · Modelo 2 aros: 100-80 / 80-60 / · 60-45,Dependiendo la cantidad de aros,Cálido 3000K · Frio 6000K · RGB/RGBW,220V,apagado · Opcional sistema dimmer por control · remoto o App,,Interior,Enertech,MAZ Iluminación,
ENT-029,COLGANTE,SATURNO TRES Y CUATRO NIVELES,,Aluminio,Aluminio anodizado · Gris · Negro · Blanco · Dorado,(Diámetro) · Modelo 3 aros: 100-80-60 / 80-60-45 / · 60-45-30 · Modelo 4 aros: 100-80-60-45 / · 80-60-45-30,Dependiendo la cantidad de aros,Cálido 3000K · Frio 6000K · RGB/RGBW,220V,apagado · Opcional sistema dimmer por control · remoto o App,,Interior,Enertech,MAZ Iluminación,
ENT-030,COLGANTE,CINCO Y SEIS NIVELES 5 Aros 6 Aros,,Aluminio,Aluminio anodizado · Gris · Negro · Blanco · Dorado,(Diámetro) · Modelo 5 aros: 100-80-60-45-30 · Modelo 6 aros: 100-80-70-60-45-30,Dependiendo la cantidad de aros,Cálido 3000K · Frio 6000K · RGB/RGBW,220V,apagado · Opcional sistema dimmer por control · remoto o App,,Interior,Enertech,MAZ Iluminación,
ENT-031,COLGANTE,LINEAL SIMPLE LINEAL H,,Aluminio,Aluminio anodizado · Gris · Negro · LINEAL H,180 cm/ 150 cm / 120 cm / 100cm / · 80 cm PERFIL H,30W / 25W / 20W / 15W / 15W,Cálido 3000K · Frio 6000K · RGB/RGBW,220V,apagado · Opcional sistema dimmer por control · remoto o App,,Interior,Enertech,MAZ Iluminación,
ENT-032,COLGANTE,LOOP Terminación,,Aluminio,Aluminio anodizado · Gris · Negro,45 cm x 20 cm,26W,Cálido 3000K · Frio 6000K · RGB/RGBW,220V,apagado · Opcional sistema dimmer por control · remoto o App,,Interior,Enertech,MAZ Iluminación,
ENT-033,COLGANTE,MOUTH VISTA INFERIOR,,Aluminio,Aluminio anodizado · Gris · Negro,100 cm de largo,40W,Cálido 3000K · Frio 6000K · RGB/RGBW,220V,apagado · Opcional sistema dimmer por control · remoto o App,,Interior,Enertech,MAZ Iluminación,
ENT-034,COLGANTE,TOROID VISTA INFERIOR,,Aluminio,Aluminio anodizado · Gris · Negro,100 cm de largo,40W,Cálido 3000K · Frio 6000K · RGB/RGBW,220V,apagado · Opcional sistema dimmer por control · remoto o App,,Interior,Enertech,MAZ Iluminación,
ENT-035,COLGANTE,TWISTER Niveles regulables,,Aluminio,Aluminio anodizado · Gris · Negro,60 cm x 45 cm (Modelo MID) · 85 cm x 45 cm (Modelo MAX),40W (MID) / 60W (MAX),Cálido 3000K · Frio 6000K · RGB/RGBW,220V,apagado · Opcional sistema dimmer por control · remoto o App,,Interior,Enertech,MAZ Iluminación,
ENT-036,COLGANTE,LINEAL AROS,,Aluminio,20 cm · Aluminio anodizado · Gris · Negro,"Base de 60 x 5,5 x 3,8 cm · Diámetro de los aros 20 cm",50W,Cálido 3000K · Frio 6000K · RGB/RGBW,220V,apagado · Opcional sistema dimmer por control · remoto o App,,Interior,Enertech,MAZ Iluminación,
ENT-037,COLGANTE,DOUBLE RING,,Aluminio,Aluminio anodizado · Gris · Negro,Base de 20 x 5 cm · Diámetro de los 2 aros 20 cm,25W,Cálido 3000K · Frio 6000K · RGB/RGBW,220V,apagado · Opcional sistema dimmer por control · remoto o App,,Interior,Enertech,MAZ Iluminación,
ENT-038,COLGANTE,WOLF Niveles regulables,,Aluminio,Aluminio anodizado · Gris · Negro,Base de 60 x 6 cm x 8 cm · Lineas torsionadas: 60 cm (x2) 30 cm (x3),40W,Cálido 3000K · Frio 6000K · RGB/RGBW,220V,apagado · Opcional sistema dimmer por control · remoto o App,,Interior,Enertech,MAZ Iluminación,
ENT-039,COLGANTE,TRILOGY Niveles regulables,,Aluminio,85 cm · Aluminio anodizado · Gris · Negro,30x48 cm (M) · 50x85 cm (XL),40W (M) · 60W (XL),Cálido 3000K · Frio 6000K · RGB/RGBW,220V,apagado · Opcional sistema dimmer por control · remoto o App,,Interior,Enertech,MAZ Iluminación,
ENT-040,COLGANTE,RAIN Niveles regulables,,Aluminio,Aluminio anodizado · Gris · Negro,Lineas torsionadas: 60 cm (x5),40W,Cálido 3000K · Frio 6000K · RGB/RGBW,220V,apagado · Opcional sistema dimmer por control · remoto o App,,Interior,Enertech,MAZ Iluminación,
ENT-041,COLGANTE,CUADRADO 1 Nivel (tamaños disponibles),,Aluminio,Aluminio anodizado · Gris · Negro,(Diámetro) · 1 Nivel: 120x120 / 90x90 / 60x60 · 2 Niveles: 60 -30 · 3 Niveles: 90-60-30,1 Nivel: 120cm: 90w / 90cm: 70w / 60cm: 45w · 2 Niveles: 60x60+30x30: 70w · 3 Niveles: 90x90+60x60+30x30: 130w,Cálido 3000K · Frio 6000K · RGB/RGBW,220V,apagado · Opcional sistema dimmer por control · remoto o App,,Interior,Enertech,MAZ Iluminación,
ENT-042,COLGANTE,MINI TWISTER Niveles,,Aluminio,Aluminio anodizado · Gris · Negro,35 cm x 15 cm,1 bucle: 18w / 2 bucles: 36w 5 bucles: 90w,Cálido 3000K · Frio 6000K · RGB/RGBW,220V,apagado · Opcional sistema dimmer por control · remoto o App,,Interior,Enertech,MAZ Iluminación,
ENT-043,COLGANTE,SQUARE 20,,Aluminio,Aluminio anodizado · Gris · Negro,80cmx40cm / 60cmx30cm · 40cmx20cm,60w,Cálido 3000K · Frio 6000K · RGB/RGBW,220V,apagado · Opcional sistema dimmer por control · remoto o App,,Interior,Enertech,MAZ Iluminación,
ENT-044,COLGANTE,Tensores regulables Terminación,,Metal / PVC,Aluminio anodizado · Gris · Negro,1.20 mts / 3 mts PVC + tira Led · 1.50 mts / 4.5 mts PVC + tira Led,1.20 mts 108w / 1.50 mts 160w,Cálido 3000K · Frio 6000K · RGB/RGBW,220V,apagado · Opcional sistema dimmer por control · remoto o App,,Interior,Enertech,MAZ Iluminación,
ENT-045,COLGANTE,OXXO Kit de suspensión,,Aluminio,Aluminio anodizado · Gris · Negro,1.40 mts perfil / Aro 30 cm,50w,Cálido 3000K · Frio 6000K · RGB/RGBW,220V,apagado · Opcional sistema dimmer por control · remoto o App,,Interior,Enertech,MAZ Iluminación,
ENT-046,COLGANTE,OVOX Terminación,,Aluminio / Madera,Aluminio anodizado · Gris · Negro,Perfil: 40 cm x 30 cm · Madera: 8 cm,15w,Cálido 3000K · Frio 6000K · RGB/RGBW,220V,apagado · Opcional sistema dimmer por control · remoto o App,,Interior,Enertech,MAZ Iluminación,
ENT-047,APLIQUES,,Aplique de pared o techo led moderno. · Perfil a 45°.,Aluminio,Aluminio anodizado · Negro · Gris,50 cm y 100 cm de largo,10W y 20W,Cálido 3000K · Frio 6000K · RGB/RGBW,220V,apagado · Dimerizable con control remoto o · sensor de proximidad,,Interior,Enertech,MAZ Iluminación,
ENT-048,APLIQUES,LINEAL 90°,Aplique de pared o techo led moderno. · Perfil a 90°.,Aluminio,Aluminio anodizado · Negro · Gris,50 cm y 100 cm de largo,10W y 20W,Cálido 3000K · Frio 6000K · RGB/RGBW,220V,apagado · Dimerizable con control remoto o · sensor de proximidad,,Interior,Enertech,MAZ Iluminación,
ENT-049,APLIQUES,,Aplique de pared o techo led moderno. · Forma de aplicación horizontal o · vertical.,Aluminio,Aluminio anodizado · Negro · Gris,30 cm de largo / 13 cm diámetro · del rulo,20W,Cálido 3000K · Frio 6000K · RGB/RGBW,220V,apagado · Dimerizable con sensor de proximidad,,Interior,Enertech,MAZ Iluminación,
ENT-050,APLIQUES,WAVE,Aplique de pared o techo led moderno. · Forma de aplicación horizontal o · vertical.,Aluminio,Aluminio anodizado · Negro · Gris,"35 cm x 7,5 cm (Modelo L) · 50 cm x 7,5 cm (Modelo XL)",10W (Modelo L) · 18W (Modelo XL),Cálido 3000K · Frio 6000K · RGB/RGBW,220V,apagado · Dimerizable con sensor de proximidad,,Interior,Enertech,MAZ Iluminación,
ENT-051,APLIQUES,ARCH,Aplique de pared o techo led moderno. · Iluminación indirecta,Aluminio,Aluminio anodizado · Negro · Gris,48 cm x 9 cm,10W,Cálido 3000K · Frio 6000K · RGB/RGBW,220V,apagado · Dimerizable con sensor de proximidad,,Interior,Enertech,MAZ Iluminación,
ENT-052,APLIQUES,TORCH,Aplique de pared o techo led moderno. · Iluminación indirecta,Aluminio,Aluminio anodizado · Negro · Gris,"50 cm x 8,5 cm",10W,Cálido 3000K · Frio 6000K · RGB/RGBW,220V,apagado · Dimerizable con sensor de proximidad,,Interior,Enertech,MAZ Iluminación,
ENT-053,APLIQUES,LINEAL 90° INDIRECTO,Aplique de pared indirecto. · Perfil a 90°.,Aluminio · Medidas disponibles · 50 cm - 100 cm - 150 cm,Aluminio anodizado · Negro · Gris,,10W - 20W - 30W,Cálido 3000K · Frio 6000K · RGB/RGBW,220V,apagado · Dimerizable con control remoto.,,Interior,Enertech,MAZ Iluminación,
ENT-054,APLIQUES,LINEAL 90° INDIRECTO,Aplique de pared indirecto. · Perfil a 90°.,Aluminio · Medidas disponibles · 50 cm - 100 cm - 150 cm,Aluminio anodizado · Negro · Gris,,10W - 20W - 30W,Cálido 3000K · Frio 6000K · RGB/RGBW,220V,apagado · Dimerizable con control remoto.,,Interior,Enertech,MAZ Iluminación,
ENT-055,APLIQUES,HASHTAG,Aplique de techo,Aluminio · Medidas disponibles · Perfil: 76 cm / Total: 97 cm,Aluminio anodizado · Negro · Gris,,55w,Apto Sistema Dinámico · Cálido 3000K · Neutro 4500K · Frio 6000K · RGB/RGBW,220V,apagado · Dimerizable con control remoto.,Sí,Interior,Enertech,MAZ Iluminación,
ENT-056,APLIQUES,MINI HASHTAG,Aplique de pared.,Aluminio · Medidas disponibles · Perfol: 45 cm / Total: 60 cm,Aluminio anodizado · Negro · Gris,,30W,Cálido 3000K · Neutro 4500K · Frio 6000K · RGB/RGBW,220V,apagado · Dimerizable con control remoto.,,Interior,Enertech,MAZ Iluminación,
ENT-057,APLIQUES,DÚO,Aplique Bidireccional,Aluminio · Medidas disponibles · 50 cm / 100 cm / 150 cm /200 cm,Aluminio anodizado · Negro · Gris,,50 cm 18w / 100 cm 36w · 150 cm 54w / 200 cm 72w,Cálido 3000K · Neutro 4500K · Frio 6000K · RGB/RGBW,220V,apagado · Dimerizable con control remoto.,,Interior,Enertech,MAZ Iluminación,
ENT-058,APLIQUES,PARA CUADROS Cabezal Móvil,Aplique para Cuadros,Aluminio · Medidas disponibles · 50 cm / 70 cm / 100 cm,Aluminio anodizado · Negro · Gris,,50 cm 10w / 70 cm 18w · 100 cm 20w,Cálido 3000K · Neutro 4500K · Frio 6000K · RGB/RGBW,220V,apagado · Dimerizable con control remoto o app.,,Interior,Enertech,MAZ Iluminación,
ENT-059,APLIQUES,TWISTER WALL,Aplique Twister Wall,Aluminio · Medidas · 37 cm x 15 cm,Aluminio anodizado · Negro · Gris,,20 W,Cálido 3000K · Neutro 4500K · Frio 6000K · RGB/RGBW,220V,apagado · Dimerizable con control remoto o app.,,Interior,Enertech,MAZ Iluminación,
ENT-060,APLIQUES,BAÑADOR INTERIOR,Aplique de pared o techo led moderno. · Forma de aplicación horizontal o · vertical.,Aluminio,Aluminio anodizado · Negro · Gris,"65 cm largo x 1,2 cm alto",18W,Cálido 3000K · Frio 6000K · RGB/RGBW,220V,apagado · Dimerizable con control remoto,,Interior,Enertech,MAZ Iluminación,
ENT-061,APLIQUES,BAÑADOR EXTERIOR,Aplique de pared o techo led moderno. · Forma de aplicación horizontal o · vertical.,Aluminio,Aluminio anodizado · Negro · Gris,25 cm / 50 cm / 100 cm largo · 8 cm alto,18W / 36W / 72W,Cálido 3000K · Frio 6000K · RGB/RGBW,12V,apagado · Dimerizable con control remoto,,Exterior,Enertech,MAZ Iluminación,
ENT-062,APLIQUES,LUMINARIA SUMERGIBLE,Luminaria Led apto para sumergir.,Plástico,Blanco · Gris,13 cm x 3 cm,20W,Frio 6000K · RGB,12V,apagado · Efectos con control remoto / App,,Exterior,Enertech,MAZ Iluminación,
ENT-063,APLIQUES,LUMINARIA SUMERGIBLE LINEAL,Luminaria Led apto para sumergir.,Aluminio,Gris,40 cm / 50 cm / 60 cm / 70 cm / · 80 cm / 90 cm / 100 cm de largo,Sujeta al largo total,Cálido 3000K · Frio 6000K · RGB,12V,apagado · Efectos con control remoto / App,,Exterior,Enertech,MAZ Iluminación,
ENT-064,APLIQUES,LINEAL 21.20,Perfil de iluminación Led,Aluminio · Tapa difusora Opalina o transparente,Aluminio anodizado · Gris · Negro · Blanco,,Sujeto a medida,Cálido 3000K · Frio 6000K · RGB/RGBW · RGB Pixel,12V (Requiere fuente de alimentación),apagado · Touch / Control remoto / App,,Interior,Enertech,MAZ Iluminación,
ENT-065,APLIQUES,DE EMBUTIR DOBLE 32 mm,Perfil de iluminación lineal,Aluminio · Tapa difusora Opalina o transparente,Aluminio anodizado · Gris · Negro · Blanco,,Sujeto a medida,Cálido 3000K · Frio 6000K · RGB/RGBW · RGB Pixel,12V (Requiere fuente de alimentación),apagado · Touch / Control remoto / App,,Interior,Enertech,MAZ Iluminación,
ENT-066,APLIQUES,DE EMBUTIR SIMPLE 21 mm,Perfil de iluminación lineal,Aluminio · Tapa difusora Opalina o transparente,Aluminio anodizado · Gris · Negro · Blanco,,Sujeto a medida,Cálido 3000K · Frio 6000K · RGB/RGBW · RGB Pixel,12V (Requiere fuente de alimentación),apagado · Touch / Control remoto / App,,Interior,Enertech,MAZ Iluminación,
ENT-067,APLIQUES,,Perfil de iluminación lineal,Aluminio · Tapa difusora Opalina o transparente,Aluminio anodizado · Gris · Negro · Blanco,,Sujeto a medida,Cálido 3000K · Frio 6000K · RGB/RGBW · RGB Pixel,12V (Requiere fuente de alimentación),apagado · Touch / Control remoto / App,,Interior,Enertech,MAZ Iluminación,
ENT-068,APLIQUES,Sin Puntos Visibles 21mm,Perfil de iluminación Led,Aluminio · Tapa difusora Opalina o transparente,Aluminio anodizado · Gris · Negro · Blanco,,Sujeto a medida,Cálido 3000K · Frio 6000K · RGB/RGBW · RGB Pixel,12V (Requiere fuente de alimentación),apagado · Touch / Control remoto / App,,Interior,Enertech,MAZ Iluminación,
ENT-069,PROYECTOR PARA EXTERIOR,REFLECTOR EXTERIOR,Equipo apto para exterior modular · disponible en sus 3 versiones.,,Aluminio anodizado · Gris,,200W Potencia 150W · 34 cm · 21 cm · cm · 23 · cm · 23 · Reﬂector simple · 11 cm,Cálido 3000K · Frio 6000K · Peso: · 1 modulo 2.5 kg - 2 modulos 5 kg · 3 modulos 7.5 kg · Angulo de iluminación · 30° / 60° / 90° / 120°,220V / 240V,apagado · Apto dimer.,,Exterior,Enertech,MAZ Iluminación,
ENT-070,ESPEJOS,RECTANGULAR LUZ FRONTAL,Espejo de luz frontal táctil · dimerizable.,,Aluminio anodizado · Gris,A medida,Sujeto a medida,Cálido 3000K · Frio 6000K · RGB/RGBW,220V,"apagado · /dimerizado · Touch, dimerizable",,Interior,Enertech,MAZ Iluminación,
ENT-071,ESPEJOS,RECTANGULAR,Espejo de luz indirecta rectangular,,Aluminio anodizado · Gris,A medida,Sujeto a medida,Cálido 3000K · Frio 6000K · RGB/RGBW,220V,apagado · dimerizado · Sensor de proximidad,,Interior,Enertech,MAZ Iluminación,
ENT-072,ESPEJOS,CIRCULAR (NEON) LUZ FRONTAL,Espejo de luz frontal dimerizable · con sensor de proximidad,,Aluminio anodizado · Gris,A medida,Sujeto a medida,Cálido 3000K · Frio 6000K,220V,apagado · dimerizado · Sensor de proximidad,,Interior,Enertech,MAZ Iluminación,
ENT-073,ESPEJOS,CIRCULAR,"Espejo led luz indirecta redondo. · Disponible en 50, 60, 70, 80, 90 y · 100 cm",,Aluminio anodizado · Gris,A medida,Sujeto a medida,Cálido 3000K · Frio 6000K · RGB/RGBW,220V,apagado · dimerizado · Sensor de proximidad,,Interior,Enertech,MAZ Iluminación,
ENT-074,ESPEJOS,MANDALA REDONDO,Espejo retro-iluminado,Madera MDF · Tamaño disponible · 60 cm Espejo · 80 cm Madera,,,55w,Cálido 3000K · Frio 6000K · RGB/RGBW,220V,apagado · dimerizado · Sensor de proximidad,,Interior,Enertech,MAZ Iluminación,
